id,name,activity_name,quotas
6a7bbbab-7508-11ed-b2a2-1a198d2f4c14,2D/3D Animator Intern,BNI Digital Talent Thematic Internship,13
7659b95a-6429-11ed-b5cc-0a223dcf0f66,Academic Officers Intern,Zenius Professionals Practice Program Angkatan 4,6
3f356ec2-6fb0-11ed-a7a1-0278cb7f6574,Accounting Improvement,Great ISS Internship Program (GETS Program),2
99c6bc1f-5c0d-11ed-8806-7a77835150ba,Accounting Intern,[MMN-JTSE] Pengembangan Bisnis Perusahaan melalui Optimalisasi Sumber Daya dan Analisa Peluang Improvement,1
c53f879e-6a30-11ed-8ebe-a6bfdab34a31,Accounting Officer,Officer Development Program,2
02aaaa53-60b4-11ed-aaab-4a119f027d25,Accounting Officer - Jakarta (Head Office),ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,2
a901972d-54d3-11ed-a443-0a3963f6cf56,Accounting & Tax Intern,Nusantara All Division ,2
381b0795-60ba-11ed-aaab-4a119f027d25,Account Payable Officer - Jakarta (Head Office),ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
064d92bb-6fb6-11ed-b6f6-62d54cabf853,Administrasi dan Keuangan,Improving Performance Skill Through Project Management,10
e8429b8e-7062-11ed-8312-feb214c74b66,Administration,Smart Cities & Smart enterprises: Co-Creation Solution & Innovation Development Internship Programs ,3
ee3da637-64e4-11ed-b74d-2af064b3727d,Administrative Assistant Intern (for Sekolah 4.0 Program), Orbit 4 Indonesia Internship Program,1
b3b696ac-6175-11ed-9958-e6768c594c9c,Admin Operation Officer  - JBA (Jakarta),ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,2
ecb3210d-60d8-11ed-aaab-4a119f027d25,Admin Seller Officer - JBA (Jakarta),ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
03236732-670c-11ed-98f0-d6bd1ff96cc1,Admin Tax Intern,Lets Grow with Erajaya,2
1892f030-64e4-11ed-bf50-124073a7b39a,Admission Intern, Orbit 4 Indonesia Internship Program,2
c3d24ae8-81be-11ed-afe6-e28bf6b6d14d,Affiliate Partnership & Sales,Vocasia Internship Professional Edutech Program,20
45be6e8f-6fbc-11ed-83fd-7e8ddab09462,Agribusiness Intern,Petrokimia Undergraduate Apprenticeship Program Cycle 4,2
ac152b52-6faf-11ed-9576-62d54cabf853,Agricultural Researcher Intern,Petrokimia Undergraduate Apprenticeship Program Cycle 4,6
cb74cae0-6a45-11ed-98e1-a2c3ec1c6e84,Agronomy Assistant,Planter Development Program,50
0c5c571c-6c97-11ed-9738-0278cb7f6574,ALFAEXPRESS SOCIAL MEDIA SPECIALIST,Optimalisasi Social Media Beanspot Alfaexpress,2
4fcb958a-6f8e-11ed-ab38-feb214c74b66,"Analis Data dan Laporan Perusahaan Efek, PPE-EBUS dan Mitra Pemasaran PPE",Departemen Pengawasan Pasar Modal 2A,1
5ed111a1-6f8f-11ed-8b84-22d0c8df9d48,Analis Junior Departemen Hukum,Departemen Hukum,2
f32a26c4-6ed4-11ed-818c-feb214c74b66,Analis Junior Informasi dan Administrasi Perbankan (IDAP) - Publikasi, Departemen Perizinan dan Informasi Perbankan,1
7d87f1f0-6ed9-11ed-9161-22d0c8df9d48,Analis Junior Intelejen Pasar Modal,Departemen Pengawasan Pasar Modal 1B,1
ccf0a726-6edb-11ed-818c-feb214c74b66,Analis Junior Pedoman Pemeriksaan Pengelolaan Investasi Dan Lembaga Efek,Departemen Pengawasan Pasar Modal 1B,1
e8fad18e-6ed2-11ed-86a1-563600033649,Analis Junior Pemeriksaan Khusus Perbankan,Departemen Pemeriksaan Khusus Perbankan,1
