Nomor_Mitra,ID_Posisi,Nama_Posisi,Nama_Mitra,Nama_Kegiatan,Kuota_Posisi,Lokasi_Bekerja,Tipe_Aktivitas,URL_Logo,Mulai_Periode,Berakhir_Periode,Mulai_Pendaftaran,Berakhir_Pendaftaran,SKS_Diberikan,Kode_Lokasi,ID_Mitra,Kegiatan_Bersertifikat
1,b2806201-9170-11ed-9868-2aac6d703fc9,-,Garment Manufacturing,PAN 8 Sragen Internship Program (PSIP),1,Kab. Boyolali,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_657b3206-5540-4a88-ad4d-ca1247cd5f2f.png,2023-02-10T07:00:00+07:00,2023-07-10T07:00:00+07:00,2022-11-21T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,030900,7e6a4c10-aca9-4b78-89d5-7a56baf5c15e,True
2,db594c01-9170-11ed-89f0-56581bb5cdd9,-,Garment Manufacturing,PAN 8 Sragen Internship Program (PSIP),1,Kab. Boyolali,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_657b3206-5540-4a88-ad4d-ca1247cd5f2f.png,2023-02-10T07:00:00+07:00,2023-07-10T07:00:00+07:00,2022-11-21T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,030900,7e6a4c10-aca9-4b78-89d5-7a56baf5c15e,True
3,646376e9-962a-11ed-abf1-e61deb0742d3,1,Schoters,Transformasi Start-Up Edutech Melalui Riset dan Inovasi,1,Kota Jakarta Selatan,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_a741a688-4eca-41f9-8099-40d6986d6253.png,2023-02-16T07:00:00+07:00,2023-07-01T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-02-10T07:00:00+07:00,20,016300,29817ab5-be74-4c42-a223-a04eceae0eef,True
4,6a7bbbab-7508-11ed-b2a2-1a198d2f4c14,2D/3D Animator Intern,BNI,BNI Digital Talent Thematic Internship,13,Kota Jakarta Barat,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_642f3ae3-5162-4f40-aba6-e0c819df5f56.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-29T07:00:00+07:00,2023-01-20T07:00:00+07:00,20,016200,1434cd57-6295-441a-898a-7294119a96d7,True
5,96684230-7093-11ed-8312-feb214c74b66,3D Artist,Telkom,VR Lab Development		,1,Kota Yogyakarta,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_fd204644-5cb0-4ff1-a187-0becd4016be4.png,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-19T07:00:00+07:00,2023-01-27T07:00:00+07:00,20,046000,95c5cbf2-68be-4146-9fef-f891db857f3b,True
6,fef8450f-7092-11ed-8ea0-7e8ddab09462,3D Artist ,Soca AI,AI-Powered Immersive Learning,10,Kota Bandung,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_93ec7e4d-0083-4e54-994c-f8a406cd7f3f.jpg,2023-02-13T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-05T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,026000,f6940620-cc8b-4134-8290-7f511d8cc1a6,True
7,487aca21-6f99-11ed-83fd-7e8ddab09462,3D Asset Designer,Dankos,Extended Reality Learning Module Development Program,10,Kab. Bekasi,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_caf860b4-53f3-4eff-addc-dcc5b198740d.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-02-10T07:00:00+07:00,20,022200,e3c02360-8ec1-4783-9790-80afa6cf1114,True
8,57d58014-709b-11ed-b6f6-62d54cabf853,3D Designer,Synapsis.id,Learning Practice Program ,4,Kota Jakarta Timur,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c197900c-4362-422d-8cef-5c2f03d7ddb6.png,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-20T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,016400,b8aaf5af-e69c-4434-89b5-dc2dbbdf7a15,True
9,ddf4a4d4-6177-11ed-aaab-4a119f027d25,3D Designer in Developing Digital Transformation and Industry 4.0,STECHOQ,Developing Digital Transformation and Industry 4.0 through 3D Designing,25,Kab. Sleman,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b693d159-3ec1-4644-b198-b107e51a3b83.png,2023-02-20T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-13T07:00:00+07:00,2023-02-03T07:00:00+07:00,20,040200,ba16e287-a822-457d-9d45-5b2e5a47af1f,True
10,ad58cd80-7f86-11ed-bcbb-96627b1c4bb1,3PL Ops Analyst Intern,Lazada,Program Magang Lazada Logistics Indonesia [Cimanggis],3,Kota Depok,OFFLINE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-21T07:00:00+07:00,2023-02-16T07:00:00+07:00,20,026600,aed64ced-1c3e-40f4-8c92-3fae1469cbc4,True
